Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,7.656514382,9.087048832,9.028068705,8.052434457,8.392924351,7.581147177,,,,,,,,,,4.616458309,3.195942201,5.725485156,3.789925364,4.617218673,13.78248415,17.2610505,16.85591713,11.44400222,10.68149906,4.586976789,9.104425175,15.57642314,3.835038115,5.475545313,3.309604096,2.301869303,2.329968758,2.32994076,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,2.06959707,3.587484265,,,7.067184026,,,,8.163265306,,,,,,,,,,,,,,,,,,,,,,,,,,,23.08376463,22.35072072,22.52763954,19.39766283,17.93935896,18.55022015,18.55022015,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,11.05009792,11.36021165,11.91002972,12.18008987,11.69006151,11.69000315,11.66999967,,,9.549675366,13.5349881,14.87262352,14.85898508,15.58109351,14.54879109,15.52559665,15.20284642,16.16663482,16.0776109,,12.71113367,12.35281111,12.05583434,11.31941648,11.27997571,12.23330092,11.46712526,10.99054801,11.42719757,11.41336903,11.59901909,11.23538213,12.6895909,12.75809242,13.2324993,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.068464181,2.068464181,2.068464181,2.068464181,2.068464181,2.068464181,2.068464181,2.068464181,2.068464181,2.068464181,2.068464181,2.068464181,1.906006628,1.925345412,1.925345412,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,6.801470588,6.885040684,6.87732342,6.726221755,7.08386277,7.130255807,7.075850978,6.947981084,6.797445255,6.945304438,7.080141976,7.072706509,6.698658953,6.581904199,6.721157851,7.303121456,7.373500496,7.386585461,7.570502715,7.731301409,7.950019273,8.043897029,8.075650611,8.119443046,8.342488026,8.356821533,7.808826117,7.303159841,7.834648418,8.603238866,8.898880313,8.863353935,7.920954738,7.920954739,8.815736741,8.226740711,8.40847657,8.372017759,8.284758039,7.539441059,6.901207234,6.980129333,7.131803658,7.307800466,6.83821076,7.029875341,7.977868655,8.697292997,8.873670122,8.490815836,8.475812749,8.985884638,9.183817027,9.135070156,8.15862718,8.388812384,
Austria,,,,7.771198772,7.819100175,7.921721115,8.133521595,8.160235237,8.135700571,7.727207129,7.176992322,7.030210824,7.491500733,7.151792263,8.472978677,7.588694831,6.987276315,7.108437976,6.913543762,7.682442655,7.351587486,7.019060859,6.567910069,6.870418641,7.389145667,7.115793488,6.817310041,7.161998514,8.459924703,7.772066088,7.492575677,7.458740162,7.322094789,7.574875368,7.48321725,5.147340383,5.189258394,6.246589071,6.542422474,6.239398688,6.857566689,5.458948024,6.186894784,6.630583752,6.290265466,6.738475507,7.016923967,7.063658626,6.495185377,7.426295334,8.238682633,8.093676339,6.807781427,7.673308994,8.28993842,8.631772944,9.934492123,8.777074596,8.77707441,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.187056447,6.661368939,4.526130138,5.123339068,6.819242079,4.195158011,5.086628322,3.812321529,2.883330384,2.20750102,3.823140272,3.241245021,2.916433938,3.199976168,4.676729935,4.48829146,5.571366878,5.571366881,
Burundi,,,,,,,,,,,,6.088006371,7.065761163,5.72413993,6.334023579,9.16670532,7.220136033,8.108298667,5.571832708,3.281359917,3.142678799,,,5.165418927,,,2.516971279,2.809399833,2.298771889,1.759424041,1.670486772,1.542743731,,,,,,,,,,,,,,,,3.664700927,2.153761236,3.300058003,3.082041594,2.047591614,2.208339026,2.789203809,2.789203809,2.789203809,,,,
