Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,27.03045685,27.81316348,28.94847088,30.54515189,28.73541588,23.56602935,,,,,,,,,,20.06091572,18.24383391,17.27927002,17.84719779,16.56537564,21.18785912,16.63175349,16.72071198,14.94520373,16.53203199,15.74320937,14.51952959,14.16446298,15.63578575,14.14695208,16.9502948,18.08265781,16.30377313,16.30357722,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,3.470695971,7.058083079,,,12.13323451,,,,14.49502878,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3470276,7.840053291,7.759915931,8.718852036,9.373726742,9.792093844,9.792093844,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,20.55464012,22.74975556,21.99001011,22.05997235,22.29005542,20.36999054,19.6,,,26.77474368,28.5849492,30.3477598,29.23741652,26.95385708,26.36425099,29.79777737,28.8780601,29.69998089,31.15395153,,25.15247861,24.65256621,23.97070379,24.50119705,26.05486772,28.44665027,27.54685721,27.62394282,28.70407109,28.29995278,29.53982468,29.73030454,30.94735062,31.23385674,30.77721479,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.56338663,54.79378146,54.97643882,54.50480021,54.77718798,46.58622731,56.2726281,54.75991165,57.27206167,60.5035263,64.33816633,64.33816632,43.28710847,63.08761818,63.08761818,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,14.86672794,14.85499687,14.34944238,14.55596427,14.35832274,13.90767421,15.880461,16.03007154,16.68567518,17.37874097,18.14870166,16.18576323,17.42703129,18.17267889,18.23198667,18.58079787,18.19698746,17.22885922,17.69136451,16.97060511,19.04471284,19.17868192,17.80290202,18.19445443,18.55253329,18.1919997,17.88096419,17.99578303,18.5154668,20.33186112,21.82367463,21.7365495,19.73197836,19.73197836,19.72324888,19.65723725,21.06349174,21.14546356,22.11371197,21.16600685,20.46036296,20.1579159,19.49771153,18.82944458,20.25849379,20.38859356,21.49627135,23.87242202,23.56509931,24.92326099,26.67995561,27.13435427,26.55257657,25.678898,25.44302277,24.64029631,
Austria,,,,18.71998088,18.7264024,18.98249683,19.71516632,20.31700969,19.58122201,18.84534901,15.65984724,16.50200541,16.44558334,15.56338416,13.02027413,14.47615235,16.82282732,17.0899965,16.66114203,16.23159554,15.68208674,15.85770738,16.36952097,16.66118023,16.31880874,16.16570059,16.02678261,16.13570666,15.12659433,14.44715417,14.56106758,14.72493654,16.10192166,16.85851996,15.96010433,11.60503165,11.73091185,10.92906598,10.47767535,9.516771682,9.91231124,8.943792834,10.19874005,10.1407221,9.780002157,9.107145642,8.787597673,8.830090883,9.038020301,10.69012891,10.44340344,9.850574515,10.60264527,10.6371017,10.3627276,10.74634075,10.79420351,10.92775622,10.92775599,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0015623,39.56114449,39.31626335,35.14650033,26.37956098,14.80317871,18.06849615,14.80981016,26.43286773,27.25356415,28.72140895,28.91846739,27.47361168,25.48191255,25.09836454,28.67924574,24.78315399,24.78315398,
Burundi,,,,,,,,,,,,52.53153176,53.95833149,59.4585978,59.87190912,54.08993924,61.2372434,61.08499056,71.57296667,81.43738702,77.81280583,,,74.88680683,,,80.02373606,81.47770007,82.15473925,84.60720642,82.65080167,83.11598412,,,,,,,,,,,,,,,,80.77545809,87.50277337,88.93148247,84.74075261,90.79023171,88.50868804,87.62715093,87.62715093,87.62715093,,,,
