Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.994507854,9.111389293,2.075568693,2.644874931,4.178401009,3.201766531,2.951216609,2.094832218,2.644009107,3.680020357,1.96896705,1.444769544,1.518623195,1.801451169,1.152720956,2.49483129,2.166281435,2.551069454,2.551038801,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,9.101648352,7.867290056,,,0.239787243,,,,3.34903192,,,,,,,,,,,,,,,,,,,,,,,,,,,11.14496305,11.41590955,12.2326151,13.63378587,15.29267961,15.26393591,15.26393591,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,11.96242009,10.33013171,10.66987405,10.55012098,9.789674807,9.589984232,9.549999671,,,15.2453722,13.47408525,9.984856921,11.37542571,12.82898949,12.92295805,9.59373292,10.81718684,8.690999427,8.351391068,,9.822173151,10.69538762,11.67184489,12.18812368,12.04034,10.76271031,12.54678171,13.27592502,12.78463883,13.07850629,11.71950442,11.75495356,12.16163119,12.65022922,11.70508329,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.505644393,1.342713879,1.334063574,1.341671356,1.344346874,1.939198239,1.93841619,1.938934829,1.939164418,1.939072229,1.939427275,1.939427275,1.657115456,1.345571055,1.345571055,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,18.91084559,19.2363864,19.57249071,19.63566299,19.53621347,19.92061158,18.96274457,18.69770826,18.28239051,18.05985552,16.89706707,17.63228017,18.38022614,17.97752809,18.12786339,17.37265151,16.7764048,16.86968064,15.91522158,16.57846075,16.53925222,15.20635106,15.44012296,15.32101517,15.07448258,14.87689694,15.35213295,15.61723759,14.7587459,6.396454423,14.97640009,14.91661086,14.09929944,14.09929944,14.30177673,15.83946445,15.188907,14.89325121,13.71807001,13.10675041,13.00866206,13.65996161,13.25283947,13.51040041,19.64317258,19.14945118,20.05196055,19.11935701,15.52086285,10.51299905,16.76051128,15.95469858,16.71255728,18.92144884,17.98221902,17.83940358,
Austria,,,,9.618380956,9.774336003,9.904747319,9.91097192,10.24356426,10.25203448,11.08029368,11.61482437,12.24586881,11.84524342,12.15180949,11.63513265,12.52516702,12.50387876,12.47397281,12.63700323,12.49294308,14.82432696,15.43465783,15.52613429,13.59667096,14.91590488,16.00332078,14.84465022,14.82612305,14.29447001,14.76271927,20.27131973,20.65548423,19.02046358,19.01145759,20.25702425,22.17473976,22.11681313,23.02644933,23.95570816,24.84785603,25.19222142,26.14066654,25.5048477,26.14610768,26.51712178,28.13895794,28.43525212,26.36735108,27.37577417,26.64732336,27.16046929,29.32544746,29.37868494,29.66214121,29.66788627,29.0642632,28.09655367,29.13167739,29.13167677,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.40110268,11.62725836,9.566097842,8.655939923,17.3917753,11.7309185,9.36236744,5.526595443,6.171496626,5.715505591,5.676754718,5.505370256,8.374341057,9.168639967,14.74934033,13.92638658,8.933768471,8.933768469,
Burundi,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,,,,14.48997651,14.40002845,14.95934797,14.75258462,14.3058117,14.63211534,14.59588858,15.65974777,15.99716401,15.78405746,13.9316492,13.45781741,14.31983894,14.66367665,14.54884173,16.07978646,15.89030104,15.57775768,15.08844916,15.15947459,15.10717806,14.14029656,,,,,,,,,,,18.22279352,18.78242013,18.60438609,19.04402354,19.15146454,19.00635084,18.95806333,18.95806333,18.30113167,18.22058048,18.23850003,18.70111707,17.43847797,17.71595541,19.3215108,17.70792673,18.78125254,19.3662948,20.01923155,19.00074285,15.86690398,17.04619147,18.04326488,18.04329647,
