Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,37.56345178,36.58174098,37.55760369,35.60133167,35.39706436,36.19386394,,,,,,,,,,45.78791501,38.91387709,38.43336332,43.28715764,48.08938998,36.33030188,40.86262764,39.45954672,48.40421112,43.3110431,52.10661323,44.61891925,42.1616017,48.65124673,47.14429011,44.85690174,43.70697118,43.93535208,43.93602576,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,82.72985348,79.9856141,,,78.86820421,,,,72.84144427,,,,,,,,,,,,,,,,,,,,,,,,,,,54.95463104,54.93588439,53.8070052,54.39680357,53.76884422,52.77685057,52.77685057,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,44.42469783,45.24989935,44.3802286,44.77981334,45.61004202,48.06000631,48.82000263,,,39.31427382,36.5228199,37.64595808,37.44349101,36.17254706,37.90605583,36.66605939,37.09247012,38.26485763,38.74816309,,43.26048836,43.07074385,43.51838365,43.3605056,42.78187444,40.45061112,40.23096767,39.52269028,38.79393547,38.83914481,38.96263586,38.67851738,36.28368602,36.41386369,38.3311284,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.80886758,40.9169274,40.56746151,40.93659317,40.47510301,47.8596831,38.32695536,39.55158133,37.03920172,33.80782928,29.97283421,29.97283421,51.2592639,31.44685574,31.44685574,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,47.72518382,47.73628208,48.27137546,48.39726747,48.64993647,48.9414878,48.32484589,48.8662544,48.95072993,48.57585139,48.86045208,50.10277884,50.07888509,48.9355411,49.20345689,48.73021352,49.64372689,51.01506988,51.35049921,51.26570172,49.20981627,50.13425953,51.40021361,50.80403576,50.18675572,51.11716723,52.09776228,53.01831206,53.14852315,58.36247086,47.94493194,48.15274775,52.76059941,52.76059941,52.2476288,51.22857733,50.62625095,50.90364797,51.68106123,54.54116762,56.21849966,55.78113583,57.22477516,57.80642217,50.49657501,50.65029373,47.73346163,45.351992,49.18668608,53.33777913,45.38859891,45.32415731,44.88403409,43.85740186,45.97124607,46.78189848,
Austria,,,,48.19346383,48.54052969,48.26071815,47.94701744,47.61562301,48.2588356,49.23736404,52.89306702,51.23502149,51.67515862,53.30201986,56.51350276,55.36346848,53.29197702,53.0902437,54.38390533,54.22843827,52.37218626,51.96287855,52.00576052,53.87593512,52.64907389,52.43026005,54.144433,54.12044731,54.78793691,56.11155385,50.86272308,50.63244041,51.00327967,50.23794666,50.723965,55.15434986,55.302618,54.86163716,54.39412476,55.09762962,53.96509538,55.52207227,54.93357287,54.28873281,54.82191862,53.20325585,53.56696213,55.68358036,54.80444119,53.00981947,51.96756662,50.55102048,51.22642384,49.94188631,49.62858422,49.62275834,49.36652389,49.47703513,49.4770362,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.13212952,39.87447041,44.90786528,49.68752952,48.32622072,67.93088154,66.32185128,75.08351367,63.41602949,63.6101064,59.96701807,60.46017796,59.74751202,60.79655397,54.4911367,50.97377324,57.47924065,57.47924067,
Burundi,,,,,,,,,,,,15.93927406,18.47368934,15.3124366,16.90953501,24.35699708,19.16628074,21.47678652,14.7393825,8.078957445,8.278083754,,,9.379342807,,,7.894611915,7.168138581,7.051027533,6.90364481,6.920033077,6.726691839,,,,,,,,,,,,,,,,13.50437026,9.485748919,7.208055857,11.38571694,6.996182125,8.928682325,8.975091699,8.975091699,8.975091698,,,,
