Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,27.74957699,26.51804671,24.46585672,25.80108198,27.47459541,32.65895954,,,,,,,,,,26.5402031,30.53495751,36.48631281,32.43084427,26.5496147,25.49758832,22.29335176,24.86899195,22.56257381,25.7954055,25.59423356,30.31235645,26.57888899,30.07647823,32.08049154,32.38836807,33.74222027,34.87983658,34.87941746,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,2.628205128,1.501528502,,,1.691590007,,,,1.151229723,,,,,,,,,,,,,,,,,,,,,,,,,,,3.469613678,3.457432045,3.672824227,3.852895687,3.625390466,3.616899528,3.616899528,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,12.00814404,10.31000173,11.04985751,10.43000346,10.62016625,10.29001577,10.35999803,,,9.115934926,7.883157553,7.148801674,7.084681671,8.463512869,8.257944046,8.416833667,8.009436516,7.177527231,5.668883409,,9.053726213,9.228491215,8.78323332,8.630757192,7.842942138,8.106727381,8.208268151,8.586893864,8.290157046,8.369027088,8.179015949,8.600842402,7.917741266,6.943957929,5.954074227,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05363721,0.87811308,1.053571913,1.148471083,1.334897951,1.54642717,1.393536172,1.68110801,1.68110801,1.68110801,1.68110801,1.68110801,1.890505548,2.194609608,2.194609608,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,11.69577206,11.28729397,10.92936803,10.68488352,10.37166455,10.0999706,9.756097561,9.457984722,9.283759124,9.040247678,9.013637213,9.00647126,7.415198527,8.332347723,7.715535194,8.013215642,8.009380355,7.499804794,7.472411981,7.453931008,7.256199409,7.436810461,7.281110793,7.561051597,7.843740388,7.457114591,6.860314464,6.065507481,5.742615739,6.305974727,6.356113028,6.330737963,5.487168053,5.487168053,4.911608852,5.047980265,4.712873739,4.685619507,4.202398755,3.646634058,3.411268083,3.420857331,2.892870177,2.545932375,2.763547862,2.78178619,2.740437816,2.958935966,2.85368165,2.735144995,2.69512145,2.600905202,2.667015033,2.407181145,2.444884964,2.349589249,
Austria,,,,15.69697557,15.13963173,14.93031659,14.29332273,13.66356781,13.77220733,13.10978614,12.65526905,12.98689347,12.54251389,11.83099423,10.35811179,10.04651732,10.39404059,10.23734901,9.404405643,9.364580452,9.769812564,9.725695386,9.530674155,8.995795054,8.72706682,8.284925089,8.166824133,7.755724471,7.331074049,6.906506625,6.812313939,6.528398657,6.552240307,6.317200415,5.575689172,5.918538349,5.660398622,4.936258465,4.630069261,4.298343979,4.072805264,3.934520329,3.175944599,2.793853659,2.590691972,2.812165062,2.193264111,2.055319046,2.286578955,2.226432932,2.189878011,2.179281209,1.984464523,2.085561788,2.050863488,1.934864769,1.808226809,1.686456664,1.68645663,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.278149047,2.275757804,1.683643388,1.386691159,1.083200908,1.339863242,1.160656805,0.767759197,1.096275775,1.213322842,1.81167799,1.874739373,1.488101305,1.352917344,0.98442849,1.932302983,3.23247001,3.232470004,
Burundi,,,,,,,,,,,,25.4411878,20.50221801,19.50482567,16.88453229,12.38635837,12.37633983,9.329924261,8.115818127,7.202295616,10.76643162,,,10.56843143,,,9.56468075,8.544761516,8.495461329,6.729724732,8.758678484,8.614580308,,,,,,,,,,,,,,,,2.055470725,0.857716472,0.560403665,0.791488859,0.165994551,0.354290611,0.608553558,0.608553558,0.608553558,,,,
