Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,1934318,1971455,2133747,2025973,2179800,2195665,1910883,1929968,1853614,1756296,2086842,2010590,1966240,2056942,2183692,2289123,2300003,1536323,1272536,378934,256008,239562,140714,135340,128940,122900,115500,105500,98300,90100,82900,102500,221178,204975,117575,153799,155097,356080,455870,599746,824750,838088,862387,1455709,1626020,1726737,1827453,1928169
Africa,103149904,105186617,106639492,113261704,118731114,125567553,130421852,141666136,149524658,156679064,172214931,181108019,204299392,210692176,223101460,229213237,235364570,245849327,248234758,244867798,247084148,254848825,249870340,265672226,270092526,281234020,288290567,303449256,324557764,320054681,323440681,338992835,341201959,377017083,400401190,413240794,424753744,442879482,472242859,471972065,470321465,476297346,468558623,467557855,492757760,479833553,486847427,496183862
Albania,1664480,1707452,1960790,1798434,1897542,2045492,2207898,2338898,2771472,2595408,3394946,3105946,3214946,3463946,3721946,3629946,3676946,3651946,3773946,3680946,3396154,2059000,960712,845312,801486,711386,723092,523798,604592,1178304,1147542,1222886,1341792,1361036,1496930,1516542,1370542,1356060,1474030,1504156,1522684,1492062,1169070,1620204,1797790,1811218,1879226,1948481
Algeria,4749024,5163008,5215979,5343203,5575650,6225788,4261868,9016175,11448052,12580853,13196079,11598628,16276077,16675415,16905870,17535679,19102192,19247271,19847593,19789683,20285414,21412502,21916246,22077288,21145739,21662719,20989792,21273125,22192712,23890122,23617352,23308482,26166873,27633408,27698697,28594858,30864098,32232009,33757467,36187303,35800467,37113372,40566317,42407606,46843042,48143222,49406554,50689887
Angola,1182784,1176204,584014,1059648,1127772,982648,731780,664644,1048644,1294644,1209018,1379982,1391982,1318946,975982,1537982,1273946,1795964,1475764,1610000,1691360,1724720,1806880,1973040,2381040,2181040,2639040,2313880,1786720,2406040,389880,2567520,2491400,3361600,3411000,2635600,3817120,3872720,5613120,5337960,5427160,5711000,6988840,6675931,7607831,8965596,9014628,9063661
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,31030427,31117715,30875446,32992147,32600832,32117902,33225692,34705794,33883888,36997015,36939406,35119232,35343881,35880634,36849825,33841383,37228835,39548988,41731070,40234260,39155727,40194168,42488633,43056101,43556127,44590188,46724054,48024109,49840543,50592636,50861107,47284632,45741097,48655364,55185094,55946887,60592602,61346708,66130535,63376745,66730971,68211860,67617265,70443345,72768897,74609666,76060899,77160164
Armenia,,,,,,,,,,,,,,,,,,,,,,,3867098,1776943,1031151,1258816,921219,1170287,1216863,1079873,1305892,1316647,1083360,1190210,1271367,1549725,1557820,1833261,1988674,1596809,1588927,1749360,2067465,1960575,1968967,1864061,1924661,1985601
Asia + Pacific,1020223704,1037154493,1097035680,1174077028,1194924351,1272405782,1315560383,1432767477,1537659023,1540714818,1548466742,1562845446,1632788588,1688433393,1811085233,1861532621,1937878241,2021488837,2124929567,2280319032,2376339005,2430077727,2519796129,2637515972,2788640783,3007125952,3114250344,3145573047,3099099544,3151596626,3338978197,3437920728,3611818212,3963321067,4409641635,4722853225,5036816705,5367821693,5601807815,6002463311,6523224441,6916353014,7184755456,7389020560,7393784665,7336855437,7649460332,7957204219
Australia,78148820,73281290,82273826,82520598,84030700,89464694,93476370,99942580,99432080,104190366,99927588,108274194,118038450,114115532,107932314,109035336,116958656,133464704,115230586,138173860,145680186,140304308,144266346,140201534,140362248,153274191,156335449,155738534,170342053,169309909,172034198,187893646,187292954,186864899,185046324,193280529,201136103,208741253,205963631,212938938,211320794,200342605,203255369,193796987,186173650,189578019,190107774,190637530
Austria,20226891,20460929,21560678,23023972,22464103,20864515,22762463,21637112,22803874,24198024,23356177,22543091,21029393,19914089,22246688,22503189,22509038,22490539,20647245,20971569,22807211,23149106,22500764,21728905,21074016,22151932,23859465,23401889,24537262,23237827,23463349,24259526,25648860,27122968,27055157,27224483,26956546,25918981,25793558,23076553,23969745,24754127,23606689,22174967,22578349,21479383,21232843,20986304
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,16826481,14459296,13905862,11505821,10892564,10465102,11296690,9973566,10400679,10384338,9946377,10818308,11379357,12940699,11852610,10987366,12302047,10986019,10921091,11076875,12600987,12695317,12566891,9129919,9452780,9775640
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,2212322,2352868,2574476,2916892,2631756,3011586,3248030,2402582,2240512,3123086,3152024,3062512,3614930,3036762,3685768,4476534,4240478,3896922,4919768,4726380,5051478,4925712,5410524,5368384,5747354,5797346,5935856,6364626,6625096,6898684,7525874,7388774,7738990,8151860,8583762,10298602,10380564,10961500,12135834,11403472,11789438,11730188,11734706,12391192,12663856,12727067,13159773,13592479
