Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,4125.0,7782.0,6698.0,3714.0,4917.0,6015.0,4913.0,5383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4318.0,5345.0,5682.0,6136.0,6364.0,6591.0,6818.0,7273.0,6491.0,46049.0,32980.0,79252.0,106188.0,107904.0,117303.0,123300.0,129719.0,136138.0,142556.0
Albania,1767905.0,1870887.0,2064317.0,1979127.0,2099127.0,2607571.0,2603651.0,2719365.0,2994127.0,2656984.0,2829841.0,2851615.0,3131368.0,3240212.0,3435933.0,3573346.0,4076062.0,4236328.0,4442112.0,4386113.0,3731940.0,1961835.0,497794.0,550971.0,421492.0,534229.0,418992.0,158201.0,343574.0,290354.0,305524.0,372040.0,305022.0,250541.0,340797.0,519167.0,299307.0,322188.0,537675.0,656752.0,318709.0,372037.0,866055.0,918743.0,1057382.0,1065381.0,1073379.0,1081377.0
Algeria,1003493.0,1579683.0,4095157.0,2601712.0,1444176.0,2140324.0,2849471.0,3620461.0,3079204.0,3126010.0,3791202.0,2733976.0,3349133.0,3442727.0,3915255.0,4410891.0,4512102.0,4298405.0,3790697.0,4017089.0,3580593.0,2874188.0,3876794.0,3573074.0,3808500.0,3860205.0,3153806.0,2635031.0,3219384.0,2953586.0,3104941.0,3385244.0,2976202.0,4016751.0,4305547.0,5041575.0,6008196.0,5953724.0,7470560.0,7589692.0,6641148.0,7016810.0,9962501.0,7824828.0,8313147.0,8749416.0,9153810.0,9557753.0
Angola,25199.0,711367.0,29211.0,19395.0,420547.0,5611750.0,5507750.0,5500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.0,47.0,0.0,0.0,187580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14037.0,9043.0,0.0,0.0,0.0,0.0,14421.0,21683.0,16705.0,0.0,16759.0,13561.0,193.0,1780.0,7189.0,7217.0,5665.0,4113.0,2561.0
Argentina,3899851.0,4256753.0,3964672.0,4161127.0,3940807.0,4638021.0,4268859.0,5832355.0,4616514.0,5599696.0,5027735.0,4871144.0,4965696.0,4590095.0,5071126.0,4982696.0,6185736.0,5794940.0,6127642.0,6223201.0,5036058.0,4589136.0,5401002.0,4642799.0,5739466.0,5388758.0,5854274.0,11957103.0,40372861.0,51436091.0,37484179.0,45432796.0,47361515.0,47206555.0,44449980.0,46531743.0,52499041.0,51043687.0,51499986.0,52443920.0,58754202.0,60959980.0,76972622.0,67510489.0,64816541.0,66890112.0,68963683.0,71037254.0
Armenia,,,,,,,,,,,,,,,,,,,,,,,2080125.0,1078625.0,1083025.0,3054955.0,3647213.0,3628531.0,5255096.0,5520676.0,6270127.0,6132709.0,6218780.0,5766652.0,6205220.0,6307838.0,8338924.0,8898527.0,9186375.0,9008721.0,9143323.0,10040813.0,11258988.0,12421085.0,12678334.0,13181636.0,13684938.0,14188240.0
Australia,56214168.0,55549725.0,67969436.0,71615592.0,78927457.0,84990060.0,78525654.0,89477731.0,78811815.0,89879276.0,91667079.0,72391860.0,71269085.0,67710308.0,77106359.0,94345871.0,107495672.0,137589044.0,158806921.0,194828318.0,234957927.0,220643598.0,230597286.0,239443916.0,243201415.0,243261123.0,293116611.0,295933384.0,314823668.0,313858870.0,332145257.0,338655382.0,327104118.0,332953886.0,316346518.0,325070656.0,313390629.0,315492192.0,295926220.0,288695250.0,319516439.0,333132719.0,315442889.0,336739838.0,324244733.0,324177429.0,324110125.0,324042821.0
Austria,7196902.0,7233245.0,6532608.0,7351462.0,8216534.0,7040741.0,7346360.0,6583468.0,6458246.0,8005562.0,7687410.0,7158422.0,7569185.0,6547088.0,8428711.0,7873698.0,6899688.0,6587725.0,6739252.0,6962479.0,6268041.0,6159672.0,5811567.0,5296890.0,4945500.0,5417110.0,5799149.0,1375881.0,625641.0,743753.0,853272.0,907010.0,634588.0,6443055.0,6118320.0,7620447.0,8830098.0,9538018.0,8404889.0,6650342.0,9200416.0,10287239.0,9977642.0,7916476.0,6238779.0,6772390.0,7306002.0,7839614.0
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,400000.0,300000.0,0.0,0.0,157543.0,164353.0,262626.0,163649.0,421828.0,258389.0,501037.0,845620.0,1193410.0,1211368.0,1484122.0,1342138.0,1676784.0,865811.0,1210355.0,1561359.0,1768505.0,1493848.0,1486571.0,1555799.0,1625320.0,1731843.0
Bahamas,0.0,0.0,0.0,0.0,28748.0,1589.0,0.0,0.0,0.0,0.0,306.0,1732.0,4422.0,2802.0,2784.0,1386.0,5327.0,16575.0,2884.0,0.0,0.0,0.0,0.0,0.0,0.0,14131.0,0.0,6893963.0,546.0,311021.0,294516.0,249172.0,67298.0,49740.0,24756.0,64184.0,0.0,47956.0,15577.0,23252.0,33043.0,19064.0,12077.0,0.0,171.0,0.0,0.0,0.0
Bahrain,11107.0,19992.0,73492.0,14581.0,76132.0,0.0,40945.0,32188.0,29604.0,181892.0,271146.0,201168.0,884276.0,128574.0,204468.0,191969.0,105607.0,156415.0,191885.0,253706.0,743033.0,189752.0,435090.0,479865.0,428144.0,680625.0,546157.0,0.0,0.0,0.0,530712.0,599124.0,543535.0,607531.0,370095.0,1868519.0,171732.0,1220323.0,2555625.0,2401706.0,650157.0,166632.0,122966.0,427543.0,2637530.0,2488812.0,2340094.0,2191376.0
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1251574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207536.0,91441.0,39167.0,636395.0,578663.0,557841.0,404390.0,579532.0,0.0,16132003.0,847714.0,2216157.0,720697.0,0.0,2102563.0,951789.0,829438.0,1178241.0,1185760.0,2005990.0,2274068.0,2458685.0,2168283.0,2918557.0,2522585.0,3254979.0,3380809.0,3506639.0,3632470.0,3758300.0,3884131.0,4009961.0
Barbados,1203.0,1410.0,6113.0,5379.0,7594.0,1633.0,6637.0,5274.0,10982.0,63387.0,7478.0,147775.0,44371.0,93343.0,16937.0,30333.0,51966.0,0.0,212170.0,37088.0,51902.0,63743.0,6745.0,3603.0,7320.0,9120.0,8875.0,41935.0,49617.0,48098.0,48709.0,37425.0,39602.0,55957.0,40696.0,71314.0,51810.0,40429.0,31490.0,22809.0,81080.0,18316.0,6388.0,7879.0,5113.0,2366.0,0.0,0.0
Belarus,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,396029.0,196337.0,561001.0,304293.0,297325.0,1251903.0,881006.0,536155.0,1092401.0,1147022.0,1392966.0,908155.0,1603498.0,1305368.0,1206192.0,1760658.0,901417.0,969766.0,1038116.0,1106465.0
