Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,4125,7782,6698,3714,4917,6015,4913,5383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4318,5345,5682,6136,6364,6591,6818,7273,6491,46049,32980,79252,106188,107904,117303,123300,129719,136138,142556
Africa,370410975,369798222,366318628,371337316,359747994,345722552,364233837,369899546,365310503,360356759,361004830,355890439,346996317,342724214,360053409,366978037,362073130,355242048,360463533,362495036,358112846,339319871,332414410,337285257,328756414,297245006,291475056,313724359,326575390,300049978,261226222,263962470,268547152,282240516,284647510,287670829,319490408,302891986,319394406,315125864,379622297,365901589,370520430,402935191,414442197,459193547,505306257,551419717
Albania,1767905,1870887,2064317,1979127,2099127,2607571,2603651,2719365,2994127,2656984,2829841,2851615,3131368,3240212,3435933,3573346,4076062,4236328,4442112,4386113,3731940,1961835,497794,550971,421492,534229,418992,158201,343574,290354,305524,372040,305022,250541,340797,519167,299307,322188,537675,656752,318709,372037,866055,918743,1057382,1065381,1073379,1081377
Algeria,1003493,1579683,4095157,2601712,1444176,2140324,2849471,3620461,3079204,3126010,3791202,2733976,3349133,3442727,3915255,4410891,4512102,4298405,3790697,4017089,3580593,2874188,3876794,3573074,3808500,3860205,3153806,2635031,3219384,2953586,3104941,3385244,2976202,4016751,4305547,5041575,6008196,5953724,7470560,7589692,6641148,7016810,9962501,7824828,8313147,8749416,9153810,9557753
Angola,25199,711367,29211,19395,420547,5611750,5507750,5500000,0,0,0,0,0,0,0,17851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,541,47,0,0,187580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14037,9043,0,0,0,0,14421,21683,16705,0,16759,13561,193,1780,7189,7217,5665,4113,2561
Argentina,3899851,4256753,3964672,4161127,3940807,4638021,4268859,5832355,4616514,5599696,5027735,4871144,4965696,4590095,5071126,4982696,6185736,5794940,6127642,6223201,5036058,4589136,5401002,4642799,5739466,5388758,5854274,11957103,40372861,51436091,37484179,45432796,47361515,47206555,44449980,46531743,52499041,51043687,51499986,52443920,58754202,60959980,76972622,67510489,64816541,66890112,68963683,71037254
Armenia,,,,,,,,,,,,,,,,,,,,,,,2080125,1078625,1083025,3054955,3647213,3628531,5255096,5520676,6270127,6132709,6218780,5766652,6205220,6307838,8338924,8898527,9186375,9008721,9143323,10040813,11258988,12421085,12678334,13181636,13684938,14188240
Asia + Pacific,464149195,503352282,569893099,621186828,658755416,661259444,670702127,698388305,698793805,783776722,782346657,790573963,818943789,755638510,787020180,836879843,893887733,951533486,1009825493,1097327056,1160410561,1187450065,1215472394,1273758155,1379379596,1449405225,1548963560,1590600320,1587103512,1590717008,1715214591,1787252613,1908222991,2044147019,2220293987,2419287294,2659968346,3073050981,3235674649,3468288133,3778797072,4310903174,4478868566,4792899405,4528499152,4770114190,5011765820,5253427099
Australia,56214168,55549725,67969436,71615592,78927457,84990060,78525654,89477731,78811815,89879276,91667079,72391860,71269085,67710308,77106359,94345871,107495672,137589044,158806921,194828318,234957927,220643598,230597286,239443916,243201415,243261123,293116611,295933384,314823668,313858870,332145257,338655382,327104118,332953886,316346518,325070656,313390629,315492192,295926220,288695250,319516439,333132719,315442889,336739838,324244733,324177429,324110125,324042821
