Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,1934318.0,1971455.0,2133747.0,2025973.0,2179800.0,2195665.0,1910883.0,1929968.0,1853614.0,1756296.0,2086842.0,2010590.0,1966240.0,2056942.0,2183692.0,2289123.0,2300003.0,1536323.0,1272536.0,378934.0,256008.0,239562.0,140714.0,135340.0,128940.0,122900.0,115500.0,105500.0,98300.0,90100.0,82900.0,102500.0,221178.0,204975.0,117575.0,153799.0,155097.0,356080.0,455870.0,599746.0,824750.0,838088.0,862387.0,1455709.0,1626020.0,1726737.0,1827453.0,1928169.0
Albania,1664480.0,1707452.0,1960790.0,1798434.0,1897542.0,2045492.0,2207898.0,2338898.0,2771472.0,2595408.0,3394946.0,3105946.0,3214946.0,3463946.0,3721946.0,3629946.0,3676946.0,3651946.0,3773946.0,3680946.0,3396154.0,2059000.0,960712.0,845312.0,801486.0,711386.0,723092.0,523798.0,604592.0,1178304.0,1147542.0,1222886.0,1341792.0,1361036.0,1496930.0,1516542.0,1370542.0,1356060.0,1474030.0,1504156.0,1522684.0,1492062.0,1169070.0,1620204.0,1797790.0,1811218.0,1879226.0,1948481.0
Algeria,4749024.0,5163008.0,5215979.0,5343203.0,5575650.0,6225788.0,4261868.0,9016175.0,11448052.0,12580853.0,13196079.0,11598628.0,16276077.0,16675415.0,16905870.0,17535679.0,19102192.0,19247271.0,19847593.0,19789683.0,20285414.0,21412502.0,21916246.0,22077288.0,21145739.0,21662719.0,20989792.0,21273125.0,22192712.0,23890122.0,23617352.0,23308482.0,26166873.0,27633408.0,27698697.0,28594858.0,30864098.0,32232009.0,33757467.0,36187303.0,35800467.0,37113372.0,40566317.0,42407606.0,46843042.0,48143222.0,49406554.0,50689887.0
Angola,1182784.0,1176204.0,584014.0,1059648.0,1127772.0,982648.0,731780.0,664644.0,1048644.0,1294644.0,1209018.0,1379982.0,1391982.0,1318946.0,975982.0,1537982.0,1273946.0,1795964.0,1475764.0,1610000.0,1691360.0,1724720.0,1806880.0,1973040.0,2381040.0,2181040.0,2639040.0,2313880.0,1786720.0,2406040.0,389880.0,2567520.0,2491400.0,3361600.0,3411000.0,2635600.0,3817120.0,3872720.0,5613120.0,5337960.0,5427160.0,5711000.0,6988840.0,6675931.0,7607831.0,8965596.0,9014628.0,9063661.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,31030427.0,31117715.0,30875446.0,32992147.0,32600832.0,32117902.0,33225692.0,34705794.0,33883888.0,36997015.0,36939406.0,35119232.0,35343881.0,35880634.0,36849825.0,33841383.0,37228835.0,39548988.0,41731070.0,40234260.0,39155727.0,40194168.0,42488633.0,43056101.0,43556127.0,44590188.0,46724054.0,48024109.0,49840543.0,50592636.0,50861107.0,47284632.0,45741097.0,48655364.0,55185094.0,55946887.0,60592602.0,61346708.0,66130535.0,63376745.0,66730971.0,68211860.0,67617265.0,70443345.0,72768897.0,74609666.0,76060899.0,77160164.0
Armenia,,,,,,,,,,,,,,,,,,,,,,,3867098.0,1776943.0,1031151.0,1258816.0,921219.0,1170287.0,1216863.0,1079873.0,1305892.0,1316647.0,1083360.0,1190210.0,1271367.0,1549725.0,1557820.0,1833261.0,1988674.0,1596809.0,1588927.0,1749360.0,2067465.0,1960575.0,1968967.0,1864061.0,1924661.0,1985601.0
Australia,78148820.0,73281290.0,82273826.0,82520598.0,84030700.0,89464694.0,93476370.0,99942580.0,99432080.0,104190366.0,99927588.0,108274194.0,118038450.0,114115532.0,107932314.0,109035336.0,116958656.0,133464704.0,115230586.0,138173860.0,145680186.0,140304308.0,144266346.0,140201534.0,140362248.0,153274191.0,156335449.0,155738534.0,170342053.0,169309909.0,172034198.0,187893646.0,187292954.0,186864899.0,185046324.0,193280529.0,201136103.0,208741253.0,205963631.0,212938938.0,211320794.0,200342605.0,203255369.0,193796987.0,186173650.0,189578019.0,190107774.0,190637530.0
Austria,20226891.0,20460929.0,21560678.0,23023972.0,22464103.0,20864515.0,22762463.0,21637112.0,22803874.0,24198024.0,23356177.0,22543091.0,21029393.0,19914089.0,22246688.0,22503189.0,22509038.0,22490539.0,20647245.0,20971569.0,22807211.0,23149106.0,22500764.0,21728905.0,21074016.0,22151932.0,23859465.0,23401889.0,24537262.0,23237827.0,23463349.0,24259526.0,25648860.0,27122968.0,27055157.0,27224483.0,26956546.0,25918981.0,25793558.0,23076553.0,23969745.0,24754127.0,23606689.0,22174967.0,22578349.0,21479383.0,21232843.0,20986304.0
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,16826481.0,14459296.0,13905862.0,11505821.0,10892564.0,10465102.0,11296690.0,9973566.0,10400679.0,10384338.0,9946377.0,10818308.0,11379357.0,12940699.0,11852610.0,10987366.0,12302047.0,10986019.0,10921091.0,11076875.0,12600987.0,12695317.0,12566891.0,9129919.0,9452780.0,9775640.0
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,2212322.0,2352868.0,2574476.0,2916892.0,2631756.0,3011586.0,3248030.0,2402582.0,2240512.0,3123086.0,3152024.0,3062512.0,3614930.0,3036762.0,3685768.0,4476534.0,4240478.0,3896922.0,4919768.0,4726380.0,5051478.0,4925712.0,5410524.0,5368384.0,5747354.0,5797346.0,5935856.0,6364626.0,6625096.0,6898684.0,7525874.0,7388774.0,7738990.0,8151860.0,8583762.0,10298602.0,10380564.0,10961500.0,12135834.0,11403472.0,11789438.0,11730188.0,11734706.0,12391192.0,12663856.0,12727067.0,13159773.0,13592479.0
Bangladesh,1428098.0,1450728.0,1450728.0,1573796.0,1727650.0,1772174.0,2042808.0,2063160.0,2289738.0,2253550.0,2763206.0,2768872.0,3192964.0,2911900.0,3085864.0,3459014.0,3915456.0,4304460.0,4994930.0,5295692.0,5608984.0,5161152.0,5528824.0,6024966.0,6561630.0,7957296.0,8127454.0,8754394.0,8686480.0,9315934.0,10019408.0,11608730.0,11963928.0,12510926.0,12729610.0,13723660.0,14971110.0,15847962.0,17134428.0,18349614.0,19466422.0,20641844.0,21713974.0,22946946.0,23982934.0,25932753.0,26955759.0,27978764.0
Barbados,3322.0,2106.0,2728.0,4106.0,9350.0,18494.0,22934.0,20312.0,43732.0,47208.0,51324.0,34652.0,41138.0,62704.0,100680.0,110874.0,96504.0,83570.0,78450.0,72872.0,82376.0,77840.0,80282.0,81396.0,77498.0,81414.0,70448.0,61416.0,105992.0,129940.0,104945.0,87129.0,101443.0,81350.0,81853.0,82878.0,69744.0,60154.0,52571.0,50408.0,53239.0,51687.0,50467.0,50344.0,45310.0,40277.0,35243.0,30210.0
